sample_id	clock_like_number	subclonal_count	timing_late_clonal_count	timing_early_clonal_count	timing_na_clonal_count	timing_subclonal_count
CPCT02040235T	1189	75	612	171	302	104
CPCT02010433T	292	0	60	164	68	0
CPCT02050333T	892	0	482	245	165	0
CPCT02020478T	800	9	NA	NA	NA	NA
CPCT02010359TII	760	16	262	276	222	0
CPCT02150027T	802	23	26	70	685	21
CPCT02210069T	764	157	0	17	570	177
CPCT02010726T	243	12	0	1	242	0
CPCT02100048T	720	14	309	126	223	62
CPCT02020322T	659	4	270	352	37	0
CPCT02010915T	453	28	3	17	433	0
CPCT02060093T	296	2	0	9	287	0
CPCT02070078T	565	9	89	129	347	0
CPCT02010969T	644	142	12	11	487	137
CPCT02120001T	884	29	335	78	471	0
CPCT02050143T	746	10	227	414	105	0
CPCT02160013T	580	31	103	139	273	68
CPCT02370008T	513	11	139	298	76	0
CPCT02020487T	673	107	11	53	493	116
CPCT02030383T	889	207	22	33	624	210
CPCT02230022T	729	16	258	87	354	30
CPCT02240003T	763	1	319	356	88	0
CPCT02160004T	813	9	376	208	229	0
CPCT02230101T	671	0	325	253	95	1
CPCT02030337TII	603	10	35	11	557	0
CPCT02080076T	162	11	6	6	150	0
CPCT02340037T	581	0	135	311	135	0
CPCT02040031T	984	0	360	208	416	0
CPCT02110029T	472	2	118	144	210	0
CPCT02300008T	431	7	69	317	45	0
CPCT02010694T	864	96	192	62	610	0
CPCT02050060T	455	0	48	402	5	0
CPCT02150016T	1167	114	NA	NA	NA	NA
CPCT02080100T	343	45	27	173	73	70
CPCT02050409T	502	89	9	29	378	86
CPCT02300021T	596	0	NA	NA	NA	NA
CPCT02010555T	963	9	313	455	195	0
CPCT02080002T	497	34	0	19	447	31
CPCT02120108T	897	198	2	37	728	130
CPCT02100024T	498	1	180	176	142	0
CPCT02030233T	866	23	37	69	743	17
CPCT02060129T	389	15	92	222	75	0
CPCT02340049T	491	150	48	22	263	158
CPCT02390021T	643	29	183	138	302	20
CPCT02020688T	584	23	125	205	209	45
CPCT02100001TIII	683	291	105	85	190	303
CPCT02010765T	735	3	244	144	285	62
CPCT02440018T	1173	85	561	220	254	138
CPCT02040257T	852	31	178	124	519	31
CPCT02100007T	286	0	9	213	64	0
CPCT02050309T	604	74	72	285	139	108
CPCT02080055T	153	58	0	18	135	0
CPCT02110063T	429	27	8	38	357	26
CPCT02110042T	639	53	239	157	173	70
CPCT02050383T	695	11	0	10	685	0
CPCT02080184T	255	0	60	148	47	0
CPCT02330037T	453	0	67	333	53	0
CPCT02080036T	739	26	233	182	296	28
CPCT02100028T	356	3	161	26	144	25
CPCT02030394T	723	39	30	8	685	0
CPCT02230021T	770	86	193	153	293	131
CPCT02060221T	427	78	6	28	319	74
CPCT02030384T	287	18	NA	NA	NA	NA
CPCT02010633T	328	0	17	23	288	0
CPCT02370003T	588	17	217	163	208	0
CPCT02010572T	482	0	182	230	70	0
CPCT02010504T	473	11	200	73	200	0
CPCT02180007T	645	33	2	3	515	125
CPCT02370025T	509	1	64	58	387	0
CPCT02220008T	668	81	NA	NA	NA	NA
CPCT02080064T	566	18	5	20	541	0
CPCT02050028T	661	78	22	58	452	129
CPCT02390008T	671	22	131	85	441	14
CPCT02160014T	358	193	1	9	152	196
CPCT02180050T	410	0	108	192	110	0
CPCT02020591T	228	11	0	0	228	0
CPCT02160055T	437	50	0	10	427	0
CPCT02360008T	350	19	2	25	323	0
CPCT02020215T	1331	74	506	406	419	0
CPCT02010708T	473	0	132	253	88	0
CPCT02100037T	408	8	79	205	124	0
CPCT02160001T	603	26	0	32	571	0
DRUP01010037T	5425	153	460	255	4714	2
CPCT02390010T	597	90	89	242	192	74
CPCT02040071TII	738	114	257	387	94	0
CPCT02080073T	677	4	29	116	532	0
CPCT02010419T	418	2	66	32	320	0
CPCT02220044T	705	28	11	19	675	0
CPCT02060070T	403	46	5	13	348	37
CPCT02290046T	631	175	2	8	432	189
CPCT02010791T	624	29	169	199	215	41
CPCT02020490T	328	1	81	151	96	0
CPCT02180053T	922	171	244	132	300	246
CPCT02230110T	1676	3	979	374	323	0
CPCT02080027T	352	4	107	80	165	0
CPCT02060277T	335	18	9	31	280	15
CPCT02020637T	441	0	126	246	69	0
CPCT02080254T	419	15	5	8	406	0
CPCT02310004T	899	0	482	248	169	0
CPCT02080290T	454	6	0	14	440	0
CPCT02100055T	641	0	321	122	198	0
CPCT02020711T	500	64	18	42	284	156
CPCT02010326TII	730	148	212	129	227	162
CPCT02380037T	365	36	7	21	300	37
CPCT02010907T	184	0	35	108	41	0
CPCT02020401T	591	49	2	16	573	0
CPCT02190051T	525	3	164	265	96	0
CPCT02180077T	756	12	374	123	259	0
CPCT02050053T	686	10	222	250	214	0
CPCT02030484T	681	1	203	106	372	0
CPCT02130163T	967	9	535	189	243	0
CPCT02010687T	445	6	164	132	149	0
CPCT02090034T	941	389	16	13	611	301
CPCT02020539T	740	0	228	215	297	0
CPCT02390035T	682	11	260	205	217	0
CPCT02050218T	750	13	39	45	666	0
CPCT02020635T	641	147	0	33	461	147
CPCT02270007T	589	142	141	274	174	0
CPCT02010289T	421	20	12	40	369	0
CPCT02060272T	595	24	65	449	81	0
CPCT02100110T	591	11	214	138	229	10
CPCT02060278T	700	24	127	132	339	102
CPCT02050164T	1001	7	343	444	214	0
CPCT02080196T	274	21	2	26	246	0
CPCT02150002T	400	76	0	0	400	0
CPCT02030550T	768	27	295	138	263	72
CPCT02340071T	542	0	156	102	284	0
CPCT02010934T	508	2	169	118	221	0
CPCT02020807T	281	0	18	214	49	0
CPCT02210071T	599	13	2	20	565	12
CPCT02050082T	389	15	0	16	360	13
CPCT02100043T	420	28	1	11	382	26
CPCT02410009T	547	0	9	40	498	0
CPCT02160018T	418	1	111	138	169	0
CPCT02210034T	429	0	119	134	176	0
CPCT02030448T	386	21	4	25	357	0
CPCT02300040T	564	39	17	19	528	0
CPCT02160030T	234	0	0	17	217	0
CPCT02390029T	499	111	17	28	324	130
CPCT02030305T	335	40	0	19	291	25
CPCT02210017T	796	28	152	400	190	54
CPCT02010523T	1064	15	429	199	436	0
CPCT02020680T	3273	330	226	55	2992	0
CPCT02120063T	589	1	173	191	225	0
CPCT02370006T	763	164	211	113	252	187
CPCT02050071T	505	17	144	109	236	16
CPCT02020541T	483	0	164	218	101	0
CPCT02040138T	468	16	10	33	413	12
CPCT02080067T	567	15	0	19	548	0
CPCT02010422T	691	45	26	36	631	1
CPCT02230036T	444	19	1	3	442	1
CPCT02120016T	468	0	81	200	187	0
CPCT02100066T	593	9	17	38	538	0
CPCT02060179T	597	7	185	265	147	0
CPCT02020382T	483	2	165	139	179	0
CPCT02020514T	6309	1453	136	41	6132	0
CPCT02010554T	448	7	11	21	416	0
CPCT02020801T	426	0	63	288	75	0
CPCT02030264T	262	0	0	3	259	0
CPCT02140083T	735	9	8	20	707	0
CPCT02110030T	790	84	76	304	233	177
CPCT02100187T	523	12	0	10	513	0
CPCT02060075T	790	0	312	265	213	0
CPCT02100020T	259	66	13	15	176	55
CPCT02010329T	199	0	37	104	58	0
CPCT02080025T	527	10	68	63	337	59
CPCT02160029T	370	8	100	147	123	0
CPCT02040266T	680	1	160	310	210	0
CPCT02310006T	311	20	1	3	307	0
CPCT02020218T	723	1	40	63	548	72
CPCT02030549T	1465	18	405	76	984	0
CPCT02310018T	516	39	12	36	468	0
CPCT02020239T	476	17	1	16	459	0
CPCT02160009T	273	26	0	11	262	0
CPCT02010773T	995	75	275	137	359	224
CPCT02010324T	692	4	257	141	294	0
CPCT02040055T	528	9	112	161	255	0
CPCT02160019T	642	0	123	99	420	0
CPCT02010276TII	352	10	10	13	329	0
CPCT02380024T	1147	13	460	114	573	0
CPCT02150004T	513	14	18	31	464	0
CPCT02220053T	534	31	1	56	448	29
CPCT02060128T	636	2	130	346	160	0
CPCT02020160TIII	327	7	9	16	296	6
CPCT02020264T	595	77	NA	NA	NA	NA
CPCT02040290T	1038	62	27	21	990	0
CPCT02230028T	500	72	0	1	0	499
CPCT02050156T	692	25	139	302	208	43
CPCT02160027T	234	15	0	6	228	0
CPCT02150014T	401	51	3	29	276	93
CPCT02230016T	357	11	0	4	353	0
CPCT02080022T	222	3	3	13	206	0
CPCT02230058T	514	490	0	5	462	47
CPCT02230002T	580	107	87	204	262	30
CPCT02120061T	440	19	8	19	394	19
CPCT02020202T	807	76	124	79	455	149
CPCT02040145T	448	18	128	216	104	0
CPCT02100017T	490	31	111	140	204	38
CPCT02010521T	439	37	0	5	434	0
CPCT02080200T	517	14	6	21	490	0
CPCT02010824T	766	11	326	181	259	0
CPCT02110069T	820	0	284	228	308	0
CPCT02030265TII	626	1	2	7	617	0
CPCT02050183T	740	49	NA	NA	NA	NA
CPCT02010863T	400	9	23	52	316	9
CPCT02020287T	560	61	0	0	496	64
CPCT02100049T	906	90	273	178	359	96
CPCT02080103T	1388	0	547	95	746	0
CPCT02120051T	736	14	238	244	254	0
CPCT02080112T	460	0	107	231	122	0
CPCT02030261T	431	26	3	27	376	25
CPCT02340047T	283	1	21	36	226	0
CPCT02380035T	5669	300	2464	273	2932	0
CPCT02070360T	360	20	26	47	265	22
CPCT02240011T	751	1	235	300	216	0
CPCT02010731T	1410	20	11	13	1386	0
CPCT02120158T	653	133	128	189	184	152
CPCT02010838T	373	32	0	23	301	49
CPCT02030521T	686	0	222	289	175	0
CPCT02140089T	556	2	231	157	168	0
CPCT02070352T	364	35	1	10	353	0
CPCT02050209T	613	2	198	170	247	1
CPCT02350007T	1336	47	489	272	575	0
CPCT02100170T	346	12	77	107	79	83
CPCT02060150T	469	1	NA	NA	NA	NA
CPCT02010447T	394	8	13	16	365	0
CPCT02020693T	435	3	35	44	356	0
CPCT02040035T	392	48	5	5	382	0
CPCT02040230T	840	14	306	269	265	0
CPCT02030428T	414	16	0	30	368	16
CPCT02050166T	1139	18	326	181	632	0
CPCT02390001TII	472	7	7	27	430	8
CPCT02010351T	698	20	149	184	291	74
CPCT02020369T	479	10	151	151	177	0
CPCT02020385T	944	3	357	266	321	0
CPCT02020692T	810	25	283	143	384	0
CPCT02120137T	577	26	0	2	0	575
CPCT02120114T	748	1	225	117	408	1
CPCT02020685T	817	4	242	117	458	0
CPCT02390015T	1064	12	15	10	1039	0
CPCT02220026T	1372	20	385	419	568	0
CPCT02110028T	453	0	66	139	248	0
CPCT02410004T	1015	1	635	314	66	0
CPCT02010890T	315	0	15	38	262	0
CPCT02010267TIII	903	32	193	226	421	63
CPCT02040219T	407	0	57	229	121	0
CPCT02160022T	436	88	4	7	349	82
CPCT02110049T	504	23	99	177	190	38
CPCT02290011T	606	0	230	169	207	0
CPCT02010772T	349	125	NA	NA	NA	NA
CPCT02020195T	721	22	0	19	702	0
CPCT02330042T	273	1	1	8	264	0
CPCT02380039T	755	13	162	106	450	37
CPCT02220047T	444	28	42	41	343	18
CPCT02050117T	477	65	14	12	392	59
CPCT02010720T	365	1	95	98	172	0
CPCT02290052T	654	56	125	225	235	69
CPCT02230089T	742	1	220	293	229	0
CPCT02100002T	607	11	13	12	582	0
CPCT02080072T	675	3	183	81	411	0
CPCT02340066TIV	881	0	NA	NA	NA	NA
CPCT02020508T	982	1	329	270	383	0
CPCT02240001T	884	5	161	313	410	0
CPCT02040254T	553	23	130	113	290	20
CPCT02080183T	259	35	17	18	202	22
CPCT02210004T	5235	5	11	221	5003	0
CPCT02120033T	666	21	NA	NA	NA	NA
CPCT02110057T	448	20	9	23	359	60
CPCT02030216TII	414	0	122	113	179	0
CPCT02100104T	341	12	0	7	334	0
CPCT02190024T	930	16	115	179	577	59
CPCT02020345TII	1010	7	467	209	334	0
CPCT02180028T	303	22	0	8	274	21
CPCT02330017T	636	5	1	38	597	0
CPCT02020344T	549	94	55	164	245	85
CPCT02020377T	352	67	111	116	38	87
CPCT02020475T	445	53	18	30	345	52
CPCT02230044T	367	25	2	25	318	22
CPCT02050157T	564	216	NA	NA	NA	NA
CPCT02140039T	594	126	2	8	427	157
CPCT02300028T	278	1	0	14	264	0
CPCT02270030T	551	29	0	12	539	0
CPCT02230074T	381	35	0	15	340	26
CPCT02010661T	824	180	NA	NA	NA	NA
CPCT02140085TII	922	104	358	156	299	109
CPCT02230025T	660	505	NA	NA	NA	NA
CPCT02010721T	330	5	42	196	85	7
CPCT02160008T	139	0	11	64	52	12
CPCT02050285T	423	0	25	36	362	0
CPCT02010344TII	547	14	22	55	470	0
CPCT02050146T	392	17	22	17	353	0
CPCT02190002T	591	0	96	452	43	0
CPCT02080118T	465	3	1	34	430	0
CPCT02100075T	575	1	161	166	248	0
CPCT02010901T	492	42	26	22	444	0
CPCT02020830T	368	0	50	199	101	18
CPCT02310021T	2449	1	1164	1094	191	0
CPCT02050096T	341	13	2	21	318	0
CPCT02040070T	685	0	183	220	282	0
CPCT02100050T	557	19	0	24	533	0
CPCT02120148T	537	12	0	19	518	0
CPCT02340025T	526	7	33	35	451	7
CPCT02160041T	456	124	7	10	325	114
CPCT02300014T	623	11	167	163	293	0
CPCT02100132T	681	46	9	20	652	0
CPCT02310022T	631	16	0	14	617	0
CPCT02010658T	743	20	6	38	699	0
CPCT02190026T	697	0	312	252	133	0
CPCT02010281T	1216	5	568	214	390	44
CPCT02360015T	503	6	154	84	265	0
CPCT02210053T	682	98	115	23	393	151
CPCT02170027T	1241	0	314	869	58	0
CPCT02160058T	977	39	381	202	394	0
WIDE01010274T	812	0	158	118	536	0
CPCT02030522T	408	20	30	33	331	14
CPCT02120154T	450	58	0	2	403	45
CPCT02030276T	778	15	216	113	306	143
CPCT02080216T	636	9	170	268	198	0
CPCT02030472T	986	19	107	170	709	0
CPCT02010790T	371	4	6	14	351	0
CPCT02040291T	269	1	9	11	253	2
CPCT02300032T	1127	26	351	160	590	26
CPCT02210010T	381	27	0	12	315	54
CPCT02020617T	664	44	10	92	452	110
CPCT02010517T	331	5	3	16	312	0
CPCT02330035T	723	14	262	141	320	0
CPCT02160042T	548	1	117	265	166	0
CPCT02100051T	413	16	0	8	405	0
CPCT02010401T	518	1	154	268	96	0
CPCT02160015T	825	20	209	109	507	0
CPCT02050364T	1259	15	260	91	851	57
CPCT02060049T	358	0	0	35	323	0
CPCT02140053T	628	0	141	417	70	0
CPCT02040097T	761	23	180	230	351	0
CPCT02230099T	1458	2	684	190	584	0
CPCT02310011T	945	125	13	84	747	101
CPCT02030464T	1051	16	294	347	410	0
CPCT02040267T	530	0	131	332	67	0
CPCT02320007T	589	9	23	30	536	0
CPCT02020561T	1362	19	36	38	1288	0
CPCT02250009T	432	23	89	136	183	24
CPCT02110020T	443	1	NA	NA	NA	NA
CPCT02460004T	526	5	12	15	499	0
CPCT02010260T	826	8	173	97	556	0
CPCT02100105T	683	51	61	49	533	40
CPCT02020203T	1153	12	478	298	377	0
CPCT02080001TII	618	287	NA	NA	NA	NA
CPCT02040114T	628	12	NA	NA	NA	NA
CPCT02010298T	564	43	16	54	464	30
CPCT02050127T	332	3	2	13	317	0
CPCT02040047T	978	41	269	198	449	62
CPCT02020223TII	611	31	210	320	81	0
CPCT02230071T	452	0	119	62	271	0
CPCT02360017T	417	72	4	16	341	56
CPCT02020719T	828	55	296	205	245	82
CPCT02020829T	590	22	NA	NA	NA	NA
CPCT02030242T	2250	314	961	200	1089	0
CPCT02010939T	725	9	320	103	302	0
CPCT02100011T	265	6	0	13	236	16
WIDE01010771T	861	19	17	22	822	0
CPCT02040306T	338	42	0	7	239	92
CPCT02100079T	485	23	6	12	467	0
CPCT02180030T	608	1	96	418	94	0
CPCT02360016T	377	0	1	136	240	0
CPCT02380026T	613	13	133	122	337	21
CPCT02080243T	1125	14	533	254	338	0
CPCT02010468T	896	3	404	236	256	0
CPCT02080122T	429	0	NA	NA	NA	NA
CPCT02330032T	361	78	0	11	270	80
CPCT02310003T	603	44	0	5	598	0
CPCT02300011T	642	0	282	188	172	0
CPCT02120121T	334	3	0	16	313	5
CPCT02170029T	613	0	256	151	206	0
CPCT02050337T	873	1	247	152	474	0
CPCT02030340T	353	9	0	10	343	0
CPCT02210039T	498	25	17	23	458	0
CPCT02020276T	782	11	247	189	346	0
CPCT02360018T	527	56	4	32	437	54
CPCT02010427T	321	6	4	13	304	0
CPCT02170018T	522	9	104	138	280	0
CPCT02020824T	596	0	233	59	304	0
CPCT02080039T	470	15	2	31	423	14
CPCT02020773T	325	11	0	1	324	0
CPCT02110080T	584	0	257	83	244	0
CPCT02010508T	301	4	9	245	40	7
CPCT02160039T	379	17	5	61	303	10
CPCT02300018T	536	75	5	32	499	0
CPCT02060197T	899	1	119	124	656	0
CPCT02020441T	538	283	NA	NA	NA	NA
CPCT02030463T	326	12	15	22	281	11
CPCT02020371T	288	6	3	18	269	1
CPCT02300005T	411	4	73	288	50	0
CPCT02030447T	583	21	14	21	548	0
CPCT02230014T	924	40	11	22	893	1
CPCT02380020T	614	28	185	170	201	58
CPCT02100164T	827	4	350	141	336	0
CPCT02050299T	552	0	36	3	515	1
CPCT02210014T	578	15	55	66	443	14
CPCT02470003T	286	4	3	23	260	0
CPCT02390043T	431	44	19	16	396	0
CPCT02230124T	677	55	35	21	621	0
CPCT02060289T	1223	4	408	301	514	0
CPCT02340110T	570	62	118	136	265	51
DRUP01010148T	13964	311	543	641	12780	0
WIDE01010076T	390	1	75	246	69	0
CPCT02080296T	969	100	21	37	911	0
CPCT02070424T	1060	99	28	14	1018	0
CPCT02210082T	390	73	0	5	310	75
CPCT02040325T	768	11	255	216	297	0
CPCT02040323T	429	69	17	289	39	84
CPCT02460006T	317	10	1	3	313	0
CPCT02050434T	424	7	0	16	408	0
CPCT02260028T	453	8	8	20	425	0
CPCT02440021T	472	2	113	180	179	0
CPCT02230125T	425	8	140	222	63	0
