cancer_type	cancer_type_code	n_met	n_prim	slope_primary	intercept_primary	rvalue_res_prim	pvalue_res_prim	slope_met	intercept_met	rvalue_res_met	pvalue_res_met	fold_change_met	std_fold_change_met	mean_diff_residual	std_diff_residual	pvalue_diff_distributions	median_offset_ages
Breast carcinoma	BRCA	600	188	2.6237435045255317	30.417826574308833	0.4024683040679608	7.522659297721241e-07	1.1953109836881766	178.55111692671636	0.13113128549685035	0.005336002354685464	1.3500506734742146	0.15321549239313692	61.56162242287084	17.07216314757151	7.261340214817053e-22	-19.34877728155503
Prostate carcinoma	PRAD	348	152	2.489899590104122	42.431782359048725	0.25359947691348755	0.006478657679151378	3.241040520514064	90.77069161849312	0.20963041710508282	0.0006535068318686449	1.490043092860739	0.029858304873412116	93.8626020115621	8.977393278094741	1.2009293260292006e-19	-31.917838994741956
Kidney renal clear cell carcinoma	KIRC	96	106	1.2241371486029782	40.59246817719199	0.27486796107399986	0.013604923557625909	1.6989329365311727	54.31483888185966	0.20953524022117245	0.07730941135694425	1.3699518043544743	0.0023287646839951033	42.49787300334612	5.6746055799249335	2.693024900882502e-07	-31.445654856505932
Thyroid carcinoma	THCA	19	44	1.2037249666221632	-6.084208034955715	0.748710406088686	5.41349963031448e-07	0.3764616731339633	108.88373900887095	0.08022526079640752	0.7851393707236836	2.053303459765507	0.397404006534807	64.83077774151151	9.887183123042313	2.5497038281066766e-05	-37.529843740704536
Colorectal carcinoma	COREAD	367	40	10.69152342073883	292.68274375514136	0.32283910883259	0.08184779772777974	9.308758076924592	299.12010477985905	0.33074432985225727	1.9238610067354888e-08	0.9186512294151009	0.006667996214038112	-77.36659920644829	16.52636382890952	0.7445641701719476	11.338315199541391
Ovarian serous adenocarcinoma	OV	101	109	2.579707843207433	64.42352395552476	0.2838772858809744	0.009750361323156681	4.944883911429382	-68.15591064934941	0.5373035082545433	5.605194025034542e-07	1.031208534068313	0.12669215778974327	10.76456952978939	28.26781882965436	0.1591900578113017	1.4281623467231839
