cancer_type	cancer_type_code	slope_primary	intercept_primary	slope_met	intercept_met	mean_diff_residual	std_diff_residual	fold_change_met	std_fold_change_met	n_met	n_prim	pvalue_diff_distributions	pvalue_res_met	rvalue_res_met	pvalue_res_prim	rvalue_res_prim	median_offset_ages	std_offset_ages
Breast carcinoma	BRCA	5.400828357339217	76.393829513306	1.9519252592692418	339.15047563487326	53.73221593550815	41.22017351992205	1.1537807079879916	0.13078078830152112	600	188	0.17299196531001337	0.28785969922253285	0.05021026406309469	0.0020036873005855604	0.25807334133003695	11.997305987801678	77.0406639360344
Prostate carcinoma	PRAD	10.140318928822916	-134.50007894162303	7.031520244228523	133.5584920453934	79.64652949644714	37.15535565182943	1.2000258592702464	0.13912932825342025	348	152	0.06933661341591674	0.003721364628267744	0.1789660287768538	1.2947163084465428e-05	0.39598397078693287	-0.20715967375275568	29.807583228204457
Kidney renal clear cell carcinoma	KIRC	10.07350516127542	347.4499751800879	16.54343685915464	-51.19918791164446	-6.532090492991833	77.32652952698712	0.9826274358869045	0.08452316336352093	96	106	0.4061712156844555	0.00303302739339443	0.34461653200631115	0.010555410369974923	0.28443577054345376	-0.38285755292032775	44.315575010466866
Thyroid carcinoma	THCA	6.049199520292321	-112.22984508551252	10.182890654537832	-263.421133163489	99.33544733084241	49.40453848260201	1.3626632154978826	0.10172621876809099	19	44	0.007789468660598929	0.005799078295604429	0.6949792641663511	0.00023026798821865015	0.5990302401559423	-9.94945129153355	32.87266422228549
Colorectal carcinoma	COREAD	3.501466052734056	1159.9013979715503	6.203015539233991	890.1686758803471	-106.00245018211619	32.28804505075843	0.9219541306203156	0.025940916994613226	367	40	0.7580191201764072	0.06952633336863716	0.10961693364475872	0.7295473221144608	0.06585048095370083	60.44309906539128	189.03500432699093
Ovarian serous adenocarcinoma	OV	13.904679828497756	-290.21377040999437	15.733644411800535	-445.79840515118985	-44.73829635920885	21.859192717743	0.8958996145021444	0.08033560867436601	101	109	0.9553381898648109	7.955754349704876e-07	0.5311645425605169	0.00010748360186703788	0.41464978865017055	6.662501174336398	25.346268194191406
