cancer_type	cancer_type_code	subtype	n_met	n_prim	slope_primary	intercept_primary	rvalue_res_prim	pvalue_res_prim	slope_met	intercept_met	rvalue_res_met	pvalue_res_met	fold_change_met	std_fold_change_met	mean_diff_residual	std_diff_residual	pvalue_diff_distributions
Breast carcinoma	BRCA	ER+/HER2-	404	73	2.335764797135055	185.67109226084867	0.264171430907752	0.051304553228256465	4.068676761928033	336.35395089289176	0.16598824719424993	0.003761207303792626	1.7817167504889255	0.0034265346283756317	255.7078261952539	20.711202910713475	2.883921870287005e-21
Breast carcinoma	BRCA	TNBC	76	75	7.928045143144575	-17.2157830975338	0.566852147607447	5.2491480058779605e-06	4.233504858807624	404.8878437399686	0.19294136275252946	0.15044713998437548	1.4682929681228312	0.2015624828893288	198.19209445344475	44.15594966467262	1.7107116230149443e-10
Breast carcinoma	BRCA	ER+/HER2+	68	17	8.540366027570906	112.64684677547154	0.6124408989423711	0.026073323974767047	5.047475225176809	371.1115601510494	0.20857685076678828	0.14188200864339895	1.0875240558298518	0.0830811100580361	46.77436171532952	41.74590032448144	0.032067620997456726
Breast carcinoma	BRCA	ER-/HER2+	25	7	8.711119602598393	-81.18723729461198	0.8630338837671973	0.059583169211498595	9.211938917167974	99.50439611291091	0.562780156757807	0.012121786468182695	1.4974149878374035	0.11002322765599616	211.0443191390126	5.98563034729476	0.00031446971032730197
